[2025-10-08T16:00:21.646492+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"b7f067890f0df4cf","path":"/","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"9600969"}
[2025-10-08T16:00:21.794078+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"b4f5954506329d08","path":"/favicon.ico","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"87edbe8"}
[2025-10-08T16:00:26.231009+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"a7d01309477c5132","path":"/print","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"2ca0aa3"}
[2025-10-08T16:04:40.376345+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"5c3c2c26095be51b","path":"/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"ac0d1b9"}
[2025-10-08T16:04:49.437021+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"4b599413898eb21d","path":"/scripts/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"e48f41e"}
[2025-10-08T16:06:13.811112+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"262dcbc1a2738515","path":"/scripts/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"6d32fa5"}
[2025-10-08T16:10:28.928064+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"dd959d55f4e01d6a","path":"/scripts/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"68240a8"}
[2025-10-08T16:10:30.761659+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"4657b35fd538f462","path":"/scripts/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"540ae7a"}
[2025-10-08T16:10:31.458382+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"443a3a8dd4bacba7","path":"/scripts/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"fe17c0f"}
[2025-10-08T16:10:32.609739+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"c01da61fbf119bfb","path":"/scripts/mock_label_preview.php","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"af072d8"}
[2025-10-08T16:10:32.727342+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"6b056f9ba56373ef","path":"/favicon.ico","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"1b3529c"}
[2025-10-08T16:10:55.022460+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"40d2c0a4a6fa3203","path":"/favicon.ico","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"e7947d2"}
[2025-10-08T16:11:44.207839+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"40e1a405f19a0eaa","path":"/favicon.ico","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"05789ee"}
[2025-10-08T16:11:49.425389+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"c788043bcda1c7df","path":"/favicon.ico","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"ae98059"}
[2025-10-08T16:35:53.972491+00:00] evy-api.ERROR: Unhandled exception {"trace_id":"c70cb0cccbcbef07","path":"/favicon.ico","exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\laragon\\www\\evy-api\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} {"uid":"f605c55"}
